rank,feature,mean_abs_shap
1,security_posture_score,3.2002
2,security_behaviour_count,1.7126
3,q_phishing_awareness,1.64
4,shared_device,1.262
5,q_data_breach_concern,0.9185
6,has_mfa_enabled,0.7845
7,q_password_hygiene,0.4126
8,q_privacy_policy_clarity,0.3884
9,q_trust_platform,0.34
10,q_grievance_resolution,0.317
11,q_feel_secure,0.2981
12,q_incident_response_speed,0.282
13,q_security_features,0.2656
14,q_mfa_effectiveness,0.1775
15,avg_literacy_score,0.1653
16,q_regulatory_trust,0.1594
17,q_third_party_concern,0.0952
18,q_improved_experience,0.0855
19,uses_strong_password,0.0805
20,regularly_updates_app,0.0759
